week;day;time;config_id;QTD_CTR;QTD_ASS;MOV;SECT_CONFIG
6;14/06/2024;00:00:00;"5.2.4";5;4;33;S12,S13,S14,S15,S16,S17|S09,S10,S11|S07,S08,S6F|S05,S06|18F,S01,S02,S03,S04,S18
6;14/06/2024;00:01:00;"5.2.4";5;4;33;S12,S13,S14,S15,S16,S17|S09,S10,S11|S07,S08,S6F|S05,S06|18F,S01,S02,S03,S04,S18
6;14/06/2024;00:02:00;"5.2.4";5;4;36;S12,S13,S14,S15,S16,S17|S09,S10,S11|S07,S08,S6F|S05,S06|18F,S01,S02,S03,S04,S18
6;14/06/2024;00:03:00;"5.2.4";5;4;34;S12,S13,S14,S15,S16,S17|S09,S10,S11|S07,S08,S6F|S05,S06|18F,S01,S02,S03,S04,S18
6;14/06/2024;00:04:00;"5.2.4";5;4;32;S12,S13,S14,S15,S16,S17|S09,S10,S11|S07,S08,S6F|S05,S06|18F,S01,S02,S03,S04,S18
6;14/06/2024;00:05:00;"5.2.4";5;4;34;S12,S13,S14,S15,S16,S17|S09,S10,S11|S07,S08,S6F|S05,S06|18F,S01,S02,S03,S04,S18
6;14/06/2024;00:06:00;"5.2.4";5;4;31;S12,S13,S14,S15,S16,S17|S09,S10,S11|S07,S08,S6F|S05,S06|18F,S01,S02,S03,S04,S18
6;14/06/2024;00:07:00;"5.2.4";5;4;32;S12,S13,S14,S15,S16,S17|S09,S10,S11|S07,S08,S6F|S05,S06|18F,S01,S02,S03,S04,S18
6;14/06/2024;00:08:00;"5.2.4";5;4;32;S12,S13,S14,S15,S16,S17|S09,S10,S11|S07,S08,S6F|S05,S06|18F,S01,S02,S03,S04,S18
6;14/06/2024;00:09:00;"5.2.4";5;4;30;S12,S13,S14,S15,S16,S17|S09,S10,S11|S07,S08,S6F|S05,S06|18F,S01,S02,S03,S04,S18
6;14/06/2024;00:10:00;"5.2.4";5;4;31;S12,S13,S14,S15,S16,S17|S09,S10,S11|S07,S08,S6F|S05,S06|18F,S01,S02,S03,S04,S18
6;14/06/2024;00:11:00;"5.2.4";5;4;31;S12,S13,S14,S15,S16,S17|S09,S10,S11|S07,S08,S6F|S05,S06|18F,S01,S02,S03,S04,S18
6;14/06/2024;00:12:00;"5.2.4";5;4;30;S12,S13,S14,S15,S16,S17|S09,S10,S11|S07,S08,S6F|S05,S06|18F,S01,S02,S03,S04,S18
6;14/06/2024;00:13:00;"5.2.4";5;4;30;S12,S13,S14,S15,S16,S17|S09,S10,S11|S07,S08,S6F|S05,S06|18F,S01,S02,S03,S04,S18
6;14/06/2024;00:14:00;"5.2.4";5;4;29;S12,S13,S14,S15,S16,S17|S09,S10,S11|S07,S08,S6F|S05,S06|18F,S01,S02,S03,S04,S18
6;14/06/2024;00:15:00;"5.2.4";5;4;30;S12,S13,S14,S15,S16,S17|S09,S10,S11|S07,S08,S6F|S05,S06|18F,S01,S02,S03,S04,S18
6;14/06/2024;00:16:00;"5.2.4";5;4;30;S12,S13,S14,S15,S16,S17|S09,S10,S11|S07,S08,S6F|S05,S06|18F,S01,S02,S03,S04,S18
6;14/06/2024;00:17:00;"5.2.4";5;4;30;S12,S13,S14,S15,S16,S17|S09,S10,S11|S07,S08,S6F|S05,S06|18F,S01,S02,S03,S04,S18
6;14/06/2024;00:18:00;"5.2.4";5;4;31;S12,S13,S14,S15,S16,S17|S09,S10,S11|S07,S08,S6F|S05,S06|18F,S01,S02,S03,S04,S18
6;14/06/2024;00:19:00;"5.2.4";5;4;30;S12,S13,S14,S15,S16,S17|S09,S10,S11|S07,S08,S6F|S05,S06|18F,S01,S02,S03,S04,S18
6;14/06/2024;00:20:00;"5.2.4";5;4;29;S12,S13,S14,S15,S16,S17|S09,S10,S11|S07,S08,S6F|S05,S06|18F,S01,S02,S03,S04,S18
6;14/06/2024;00:21:00;"5.2.4";5;4;29;S12,S13,S14,S15,S16,S17|S09,S10,S11|S07,S08,S6F|S05,S06|18F,S01,S02,S03,S04,S18
6;14/06/2024;00:22:00;"5.2.4";5;4;28;S12,S13,S14,S15,S16,S17|S09,S10,S11|S07,S08,S6F|S05,S06|18F,S01,S02,S03,S04,S18
6;14/06/2024;00:23:00;"5.2.3";5;3;27;S12,S13,S14,S15,S16,S17|S09,S10,S11|S07,S08,S6F|S05,S06|18F,S01,S02,S03,S04,S18
