week;day;time;config_id;CTR;ASS;SETOR;QTD_CTR;QTD_ASS;MOV_ATCO;MOV_SET;SECT_CONFIG
3;25/06/2024;00:00:00;"4.6.3";"CTR07";"ASS07";"S11";4;3;4;2;S12,S13,S14,S15,S16,S17|S09,S10,S11|S05,S06,S07,S08,S6F|18F,S01,S02,S03,S04,S18
3;25/06/2024;00:00:00;"4.6.3";"CTR07";"ASS07";"S10";4;3;4;2;S12,S13,S14,S15,S16,S17|S09,S10,S11|S05,S06,S07,S08,S6F|18F,S01,S02,S03,S04,S18
3;25/06/2024;00:00:00;"4.6.3";"CTR10";"ASS10";"S04";4;3;3;1;S12,S13,S14,S15,S16,S17|S09,S10,S11|S05,S06,S07,S08,S6F|18F,S01,S02,S03,S04,S18
3;25/06/2024;00:00:00;"4.6.3";"CTR10";"ASS10";"S18";4;3;3;1;S12,S13,S14,S15,S16,S17|S09,S10,S11|S05,S06,S07,S08,S6F|18F,S01,S02,S03,S04,S18
3;25/06/2024;00:00:00;"4.6.3";"CTR10";"ASS10";"S02";4;3;3;1;S12,S13,S14,S15,S16,S17|S09,S10,S11|S05,S06,S07,S08,S6F|18F,S01,S02,S03,S04,S18
3;25/06/2024;00:00:00;"4.6.3";"CTR15";"";"S16";4;3;4;1;S12,S13,S14,S15,S16,S17|S09,S10,S11|S05,S06,S07,S08,S6F|18F,S01,S02,S03,S04,S18
3;25/06/2024;00:00:00;"4.6.3";"CTR15";"";"S17";4;3;4;2;S12,S13,S14,S15,S16,S17|S09,S10,S11|S05,S06,S07,S08,S6F|18F,S01,S02,S03,S04,S18
3;25/06/2024;00:00:00;"4.6.3";"CTR15";"";"S14";4;3;4;1;S12,S13,S14,S15,S16,S17|S09,S10,S11|S05,S06,S07,S08,S6F|18F,S01,S02,S03,S04,S18
3;25/06/2024;00:00:00;"4.6.3";"CTR16";"ASS16";"S07";4;3;10;5;S12,S13,S14,S15,S16,S17|S09,S10,S11|S05,S06,S07,S08,S6F|18F,S01,S02,S03,S04,S18
3;25/06/2024;00:00:00;"4.6.3";"CTR16";"ASS16";"S05";4;3;10;2;S12,S13,S14,S15,S16,S17|S09,S10,S11|S05,S06,S07,S08,S6F|18F,S01,S02,S03,S04,S18
3;25/06/2024;00:00:00;"4.6.3";"CTR16";"ASS16";"S08";4;3;10;1;S12,S13,S14,S15,S16,S17|S09,S10,S11|S05,S06,S07,S08,S6F|18F,S01,S02,S03,S04,S18
